2025-09-02 22:00:52,701 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-02 22:00:52,707 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-02 22:00:52,718 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-02 22:00:52,724 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-02 22:00:52,758 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-02 22:25:37,663 | INFO | pipeline_360.cli | hello chamado
2025-09-02 22:25:37,781 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-02 22:25:37,806 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-02 22:25:37,816 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-02 22:25:37,857 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-02 22:25:37,868 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-02 22:25:38,012 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-02 23:10:10,292 | INFO | pipeline_360.cli | hello chamado
2025-09-02 23:10:10,391 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-02 23:10:10,414 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-02 23:10:10,425 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-02 23:10:10,477 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-02 23:10:10,487 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-02 23:10:10,636 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-02 23:29:54,929 | INFO | pipeline_360.cli | hello chamado
2025-09-02 23:29:55,011 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-02 23:29:55,029 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-02 23:29:55,036 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-02 23:29:55,069 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-02 23:29:55,077 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-02 23:29:55,201 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-02 23:45:21,717 | INFO | pipeline_360.cli | hello chamado
2025-09-02 23:45:21,840 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-02 23:45:21,884 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-02 23:45:21,894 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-02 23:45:21,925 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-02 23:45:21,936 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-02 23:45:22,450 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-02 23:50:16,577 | INFO | pipeline_360.cli | hello chamado
2025-09-02 23:50:16,732 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-02 23:50:16,751 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-02 23:50:16,763 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-02 23:50:16,783 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-02 23:50:16,794 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-02 23:50:16,860 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 00:18:06,592 | INFO | pipeline_360.cli | hello chamado
2025-09-03 00:18:06,694 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 00:18:06,711 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 00:18:06,722 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 00:18:06,739 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 00:18:06,752 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 00:18:06,812 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 00:33:00,700 | INFO | pipeline_360.cli | hello chamado
2025-09-03 00:33:00,809 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 00:33:00,825 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 00:33:00,838 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 00:33:00,855 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 00:33:00,863 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 00:33:00,875 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 01:15:59,600 | INFO | pipeline_360.cli | hello chamado
2025-09-03 01:15:59,664 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 01:15:59,674 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 01:15:59,680 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 01:15:59,691 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 01:15:59,697 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 01:15:59,703 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 01:37:48,780 | INFO | pipeline_360.cli | hello chamado
2025-09-03 01:37:48,867 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 01:37:48,875 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 01:37:48,881 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 01:37:48,890 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 01:37:48,896 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 01:37:48,901 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 01:39:26,187 | INFO | pipeline_360.cli | hello chamado
2025-09-03 01:39:26,258 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 01:39:26,266 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 01:39:26,272 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 01:39:26,281 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 01:39:26,289 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 01:39:26,293 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 02:23:36,061 | INFO | pipeline_360.cli | hello chamado
2025-09-03 02:23:36,135 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 02:23:36,160 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 02:23:36,166 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 02:23:36,181 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 02:23:36,188 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 02:23:36,199 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 02:57:45,458 | INFO | pipeline_360.cli | hello chamado
2025-09-03 02:57:45,516 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 02:57:45,527 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 02:57:45,533 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 02:57:45,543 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 02:57:45,550 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 02:57:45,555 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 03:14:24,901 | INFO | pipeline_360.cli | hello chamado
2025-09-03 03:14:24,960 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 03:14:24,970 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 03:14:24,976 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 03:14:24,987 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 03:14:24,993 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 03:14:25,000 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 03:31:06,242 | INFO | pipeline_360.cli | hello chamado
2025-09-03 03:31:06,301 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 03:31:06,309 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 03:31:06,315 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 03:31:06,324 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 03:31:06,330 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 03:31:06,335 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 03:59:12,076 | INFO | root | hello chamado
2025-09-03 03:59:12,134 | INFO | root | Ingest iniciado
2025-09-03 03:59:12,143 | INFO | root | Ingest concluído
2025-09-03 03:59:12,151 | INFO | root | Transform iniciado
2025-09-03 03:59:12,169 | INFO | root | Transform concluído
2025-09-03 03:59:12,179 | INFO | root | Export iniciado
2025-09-03 03:59:12,185 | INFO | root | Export concluído
2025-09-03 04:37:02,045 | INFO | pipeline_360.cli | hello chamado
2025-09-03 04:37:02,120 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 04:37:02,144 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 04:37:02,152 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 04:37:02,162 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 04:37:02,170 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 04:37:02,176 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 04:52:46,508 | INFO | pipeline_360.cli | hello chamado
2025-09-03 04:52:46,569 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 04:52:46,579 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 04:52:46,588 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 04:52:46,599 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 04:52:46,608 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 04:52:46,614 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 04:53:13,527 | INFO | pipeline_360.cli | hello chamado
2025-09-03 04:53:13,588 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 04:53:13,598 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 04:53:13,606 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 04:53:13,617 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 04:53:13,624 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 04:53:13,631 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 05:07:19,760 | INFO | root | hello chamado
2025-09-03 05:07:19,821 | INFO | root | Ingest iniciado
2025-09-03 05:07:19,831 | INFO | root | Ingest concluído
2025-09-03 05:07:19,839 | INFO | root | Transform iniciado
2025-09-03 05:07:19,850 | INFO | root | Transform concluído
2025-09-03 05:07:19,858 | INFO | root | Export iniciado
2025-09-03 05:07:19,864 | INFO | root | Export concluído
2025-09-03 05:12:49,011 | INFO | pipeline_360.cli | hello chamado
2025-09-03 05:12:49,069 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 05:12:49,079 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 05:12:49,087 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 05:12:49,099 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 05:12:49,107 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 05:12:49,114 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 05:16:08,300 | INFO | pipeline_360.cli | hello chamado
2025-09-03 05:16:08,369 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 05:16:08,379 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 05:16:08,387 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 05:16:08,399 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 05:16:08,407 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 05:16:08,413 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 05:25:37,706 | INFO | pipeline_360.cli | hello chamado
2025-09-03 05:25:37,782 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 05:25:37,794 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 05:25:37,805 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 05:25:37,817 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 05:25:37,825 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 05:25:37,831 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 05:31:11,236 | INFO | pipeline_360.cli | hello chamado
2025-09-03 05:31:11,308 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 05:31:11,318 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 05:31:11,326 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 05:31:11,337 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 05:31:11,345 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 05:31:11,356 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-03 05:45:56,992 | INFO | pipeline_360.cli | hello chamado
2025-09-03 05:45:57,051 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-03 05:45:57,061 | INFO | pipeline_360.etl.steps | Seed criado em C:\Users\André\AppData\Local\Temp\pytest-of-André\pytest-46\test_cli_run_individual_stages0\data\raw\exemplo.csv
2025-09-03 05:45:57,061 | INFO | pipeline_360.etl.steps | Ingest concluído
2025-09-03 05:45:57,061 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-03 05:45:57,069 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-03 05:45:57,084 | INFO | pipeline_360.etl.steps | Transform concluído: C:\Users\André\AppData\Local\Temp\pytest-of-André\pytest-46\test_cli_run_individual_stages0\data\processed\exemplo_proc.csv
2025-09-03 05:45:57,084 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-03 05:45:57,092 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-03 05:45:57,105 | INFO | pipeline_360.etl.steps | Export concluído: C:\Users\André\AppData\Local\Temp\pytest-of-André\pytest-46\test_cli_run_individual_stages0\data\output\resultado.csv
